Title,Url
Obituary for a Quiet Life,https://bittersoutherner.com/feature/2023/obituary-for-a-quiet-life
The One Billion Row Challenge in CUDA,https://tspeterkim.github.io/posts/cuda-1brc
Show HN: PostgreSQL index advisor,https://github.com/supabase/index_advisor
Getting into way too much detail with the Z80 netlist simulation (2021),https://floooh.github.io/2021/12/06/z80-instruction-timing.html#table-of-content
Fast and secure translation on your local machine with a GUI,https://github.com/XapaJIaMnu/translateLocally
How do machines ‘grok’ data?,https://www.quantamagazine.org/how-do-machines-grok-data-20240412/
How to Determine the Error of an Air Quality Sensor?,https://www.airgradient.com/blog/how-to-determine-error-of-sensor/
Experience report: It will never work in theory,https://www.computer.org/csdl/magazine/so/5555/01/10424425/1Ulj1Qa8tJ6
The Arc Product-Market Fit Framework,https://www.sequoiacap.com/article/pmf-framework/
Lessons after a Half-billion GPT Tokens,https://kenkantzer.com/lessons-after-a-half-billion-gpt-tokens/